order_id,payment_sequential,payment_type,payment_installments,payment_value
o_000109,1,boleto,1,214.46
o_000110,1,credit_card,1,193.16
o_000111,1,voucher,1,144.61
o_000112,1,credit_card,1,198.47
o_000113,1,credit_card,1,242.02
o_000114,1,credit_card,1,144.78
o_000115,1,boleto,1,39.16
o_000116,1,credit_card,3,528.64
o_000117,1,credit_card,1,447.77
o_000118,1,boleto,1,290.26
o_000119,1,credit_card,2,33.86
o_000120,1,credit_card,2,155.54
o_000121,1,credit_card,1,491.33
o_000122,1,credit_card,1,91.3
o_000123,1,boleto,1,102.84
o_000124,1,credit_card,2,86.7
o_000125,1,credit_card,10,179.39
o_000126,1,credit_card,2,171.87
o_000127,1,credit_card,12,290.83
o_000128,1,voucher,1,53.42
o_000129,1,credit_card,3,64.4
o_000130,1,voucher,1,21.28
o_000131,1,boleto,1,236.81
o_000132,1,credit_card,1,162.86
o_000133,1,boleto,1,273.13
o_000134,1,credit_card,1,568.76
o_000135,1,credit_card,1,341.25
o_000136,1,credit_card,4,68.24
o_000137,1,credit_card,6,70.23
o_000138,1,credit_card,4,231.44
o_000139,1,credit_card,1,267.34
o_000140,1,credit_card,3,159.35
o_000141,1,boleto,1,92.82
o_000142,1,credit_card,1,240.03
o_000143,1,boleto,1,68.22
o_000144,1,boleto,1,53.94
o_000145,1,credit_card,8,482.84
o_000146,1,credit_card,1,65.85
o_000147,1,credit_card,3,322.52
o_000148,1,credit_card,1,77.95
o_000149,1,boleto,1,138.54
o_000150,1,voucher,1,136.84
o_000151,1,boleto,1,149.25
o_000152,1,credit_card,4,31.17
o_000153,1,credit_card,1,221.71
o_000154,1,credit_card,1,51.49
o_000155,1,boleto,1,95.65
o_000156,1,boleto,1,377.18
o_000157,1,credit_card,1,161.8
o_000158,1,credit_card,2,111.34
o_000159,1,credit_card,2,193.24
o_000160,1,credit_card,4,110.52
o_000161,1,credit_card,4,125.73
o_000162,1,credit_card,3,150.21
o_000163,1,boleto,1,266.67
o_000164,1,credit_card,1,140.84
o_000165,1,credit_card,1,117.33
o_000166,1,credit_card,1,465.42
o_000167,1,boleto,1,208.77
o_000168,1,boleto,1,685.88
o_000169,1,boleto,1,146.85
o_000170,1,credit_card,4,108.09
o_000171,1,credit_card,1,189.09
o_000172,1,credit_card,1,486.13
o_000173,1,credit_card,3,233.3
o_000174,1,credit_card,4,440.19
o_000175,1,boleto,1,88.99
o_000176,1,credit_card,8,236.48
o_000177,1,credit_card,10,144.13
o_000178,1,credit_card,1,107.52
o_000179,1,credit_card,1,124.55
o_000180,1,credit_card,1,141.96
o_000181,1,credit_card,1,383.74
o_000182,1,credit_card,1,62.41
o_000183,1,credit_card,1,185.95
o_000184,1,boleto,1,302.94
o_000185,1,credit_card,2,83.61
o_000186,1,credit_card,8,251.24
o_000187,1,credit_card,1,95.21
o_000188,1,credit_card,3,179.82
o_000189,1,credit_card,3,147.8
o_000190,1,credit_card,1,259.84
o_000191,1,credit_card,1,67.56
o_000192,1,credit_card,1,66.9
o_000193,1,credit_card,12,406.24
o_000194,1,credit_card,8,182.18
o_000195,1,credit_card,1,144.38
o_000196,1,credit_card,1,344.1
o_000197,1,boleto,1,43.05
o_000198,1,credit_card,4,149.94
o_000199,1,credit_card,8,35.65
o_000200,1,credit_card,1,221.13
o_000201,1,credit_card,8,143.66
o_000202,1,credit_card,8,253.78
o_000203,1,credit_card,6,532.41
o_000204,1,boleto,1,60.87
o_000205,1,credit_card,1,40.77
o_000206,1,credit_card,1,115.85
o_000207,1,voucher,1,460.25
o_000208,1,credit_card,3,576.62
o_000209,1,credit_card,1,137.13
o_000210,1,voucher,1,94.84
o_000211,1,credit_card,3,111.29
o_000212,1,credit_card,1,241.64
o_000213,1,credit_card,4,191.66
o_000214,1,boleto,1,170.45
o_000215,1,credit_card,1,160.53
o_000216,1,credit_card,1,171.31
o_000217,1,credit_card,1,154.41
o_000218,1,credit_card,10,81.61
o_000219,1,credit_card,10,381.91
o_000220,1,boleto,1,141.29
o_000221,1,credit_card,1,277.5
o_000222,1,credit_card,1,63.1
o_000223,1,credit_card,3,232.13
o_000224,1,boleto,1,439.22
o_000225,1,credit_card,1,136.4
o_000226,1,credit_card,6,37.7
o_000227,1,credit_card,1,229.31
o_000228,1,credit_card,1,111.15
o_000229,1,boleto,1,309.39
o_000230,1,credit_card,1,46.48
o_000231,1,credit_card,2,172.61
o_000232,1,credit_card,3,304.53
o_000233,1,credit_card,2,133.87
o_000234,1,voucher,1,84.02
o_000235,1,credit_card,1,66.83
o_000236,1,credit_card,1,332.29
o_000237,1,credit_card,3,188.58
o_000238,1,credit_card,2,397.2
o_000239,1,credit_card,1,28.52
o_000240,1,credit_card,12,175.76
o_000241,1,boleto,1,66.01
o_000242,1,boleto,1,260.84
o_000243,1,boleto,1,65.36
o_000244,1,credit_card,1,29.3
o_000245,1,credit_card,3,410.21
o_000246,1,boleto,1,35.26
o_000247,1,debit_card,1,239.45
o_000248,1,credit_card,1,100.21
o_000249,1,credit_card,1,297.15
o_000250,1,credit_card,1,101.17
o_000251,1,boleto,1,76.67
o_000252,1,credit_card,3,344.88
o_000253,1,boleto,1,184.57
o_000254,1,credit_card,1,27.77
o_000255,1,boleto,1,89.72
o_000256,1,voucher,1,334.4
o_000257,1,boleto,1,385.38
o_000258,1,credit_card,1,24.96
o_000259,1,credit_card,2,123.63
o_000260,1,credit_card,1,66.29
o_000261,1,credit_card,1,244.36
o_000262,1,credit_card,1,201.23
o_000263,1,credit_card,2,156.17
o_000264,1,credit_card,12,49.22
o_000265,1,credit_card,1,63.17
o_000266,1,credit_card,8,309.8
o_000267,1,credit_card,4,431.32
o_000268,1,credit_card,1,233.83
o_000269,1,credit_card,6,190.35
o_000270,1,boleto,1,41.55
o_000271,1,credit_card,1,61.19
o_000272,1,boleto,1,95.38
o_000273,1,boleto,1,568.43
o_000274,1,credit_card,4,119.91
o_000275,1,credit_card,6,138.44
o_000276,1,credit_card,1,145.23
o_000277,1,boleto,1,54.15
o_000278,1,credit_card,1,242.95
o_000279,1,credit_card,1,71.61
o_000280,1,credit_card,1,311.37
o_000281,1,credit_card,1,107.43
o_000282,1,credit_card,1,131.25
o_000283,1,credit_card,4,143.3
o_000284,1,credit_card,1,53.89
o_000285,1,credit_card,1,401.4
o_000286,1,credit_card,2,122.58
o_000287,1,credit_card,4,79.77
o_000288,1,credit_card,2,53.18
o_000289,1,credit_card,10,142.66
o_000290,1,boleto,1,148.94
o_000291,1,credit_card,2,125.78
o_000292,1,credit_card,3,221.94
o_000293,1,boleto,1,109.41
o_000294,1,credit_card,1,68.67
o_000295,1,boleto,1,150.57
o_000296,1,boleto,1,273.91
o_000297,1,boleto,1,454.19
o_000298,1,credit_card,8,179.17
o_000299,1,boleto,1,141.91
o_000300,1,boleto,1,128.56
o_000301,1,credit_card,2,394.98
o_000302,1,boleto,1,90.63
o_000303,1,credit_card,3,223.69
o_000304,1,voucher,1,43.47
o_000305,1,boleto,1,405.47
o_000306,1,credit_card,1,151.09
o_000307,1,credit_card,2,40.03
o_000308,1,credit_card,1,204.1
o_000309,1,credit_card,1,29.63
o_000310,1,credit_card,1,448.34
o_000311,1,boleto,1,298.23
o_000312,1,credit_card,1,445.56
o_000313,1,credit_card,2,571.91
o_000314,1,boleto,1,214.6
o_000315,1,credit_card,1,109.24
o_000316,1,boleto,1,184.97
o_000317,1,credit_card,1,94.01
o_000318,1,boleto,1,52.44
o_000319,1,boleto,1,158.5
o_000320,1,credit_card,3,433.72
o_000321,1,credit_card,1,102.67
o_000322,1,boleto,1,77.2
o_000323,1,boleto,1,55.33
o_000324,1,credit_card,3,242.88
o_000325,1,credit_card,2,330.3
o_000326,1,credit_card,1,101.96
o_000327,1,credit_card,1,39.8
o_000328,1,credit_card,1,58.32
o_000329,1,credit_card,2,86.27
o_000330,1,boleto,1,719.8
o_000331,1,boleto,1,302.77
o_000332,1,boleto,1,108.31
o_000333,1,credit_card,2,309.94
o_000334,1,credit_card,1,177.76
o_000335,1,credit_card,1,51.96
o_000336,1,boleto,1,351.82
o_000337,1,boleto,1,173.37
o_000338,1,boleto,1,78.16
o_000339,1,credit_card,6,82.76
o_000340,1,voucher,1,179.9
o_000341,1,boleto,1,94.21
o_000342,1,credit_card,10,146.2
o_000343,1,credit_card,8,116.78
o_000344,1,credit_card,4,259.58
o_000345,1,credit_card,3,167.03
o_000346,1,boleto,1,103.13
o_000347,1,credit_card,1,80.92
o_000348,1,credit_card,2,97.52
o_000349,1,credit_card,1,269.22
o_000350,1,credit_card,1,82.08
o_000351,1,credit_card,1,56.33
o_000352,1,boleto,1,82.74
o_000353,1,credit_card,1,199.99
o_000354,1,credit_card,3,160.01
o_000355,1,credit_card,3,411.85
o_000356,1,debit_card,1,584.65
o_000357,1,credit_card,3,55.28
o_000358,1,credit_card,1,133.15
o_000359,1,boleto,1,61.34
o_000360,1,credit_card,1,221.73
o_000361,1,voucher,1,224.09
o_000362,1,credit_card,1,230.85
o_000363,1,credit_card,4,48.67
o_000364,1,debit_card,1,69.54
o_000365,1,credit_card,1,204.6
o_000366,1,credit_card,2,87.57
o_000367,1,credit_card,1,268.6
o_000368,1,voucher,1,169.74
o_000369,1,credit_card,2,211.18
o_000370,1,credit_card,2,148.0
o_000371,1,credit_card,10,315.02
o_000372,1,credit_card,1,83.37
o_000373,1,debit_card,1,348.08
o_000374,1,debit_card,1,312.3
o_000375,1,credit_card,3,40.1
o_000376,1,credit_card,1,117.54
o_000377,1,credit_card,3,351.82
o_000378,1,boleto,1,47.34
o_000379,1,credit_card,4,47.26
o_000380,1,credit_card,1,39.67
o_000381,1,credit_card,2,50.48
o_000382,1,boleto,1,937.11
o_000383,1,credit_card,2,299.65
o_000384,1,credit_card,1,390.96
o_000385,1,credit_card,4,53.97
o_000386,1,voucher,1,92.19
o_000387,1,credit_card,4,85.77
o_000388,1,boleto,1,87.77
o_000389,1,credit_card,2,96.55
o_000390,1,credit_card,3,78.79
o_000391,1,credit_card,2,141.09
o_000392,1,boleto,1,153.94
o_000393,1,credit_card,1,77.17
o_000394,1,credit_card,1,144.43
o_000395,1,credit_card,1,150.96
o_000396,1,credit_card,1,102.28
o_000397,1,credit_card,1,116.4
o_000398,1,credit_card,3,93.37
o_000399,1,boleto,1,277.49
o_000400,1,voucher,1,122.23
o_000401,1,credit_card,1,99.95
o_000402,1,boleto,1,421.75
o_000403,1,credit_card,1,94.43
o_000404,1,credit_card,1,152.06
o_000405,1,boleto,1,57.55
o_000406,1,credit_card,6,176.15
o_000407,1,boleto,1,45.63
o_000408,1,credit_card,2,421.53
o_000409,1,boleto,1,29.33
o_000410,1,debit_card,1,77.78
o_000411,1,voucher,1,259.08
o_000412,1,boleto,1,438.68
o_000413,1,credit_card,1,100.05
o_000414,1,credit_card,2,138.43
o_000415,1,credit_card,6,103.53
o_000416,1,credit_card,3,55.52
o_000417,1,boleto,1,74.82
o_000418,1,credit_card,2,246.43
o_000419,1,credit_card,1,38.96
o_000420,1,credit_card,1,83.69
o_000421,1,boleto,1,43.91
o_000422,1,credit_card,8,103.59
o_000423,1,credit_card,1,263.94
o_000424,1,voucher,1,276.35
o_000425,1,debit_card,1,851.35
o_000426,1,credit_card,1,162.9
o_000427,1,credit_card,10,126.07
o_000428,1,credit_card,1,67.91
o_000429,1,boleto,1,84.2
o_000430,1,credit_card,3,255.7
o_000431,1,credit_card,8,83.63
o_000432,1,credit_card,1,33.32
o_000433,1,voucher,1,109.53
o_000434,1,credit_card,6,356.54
o_000435,1,credit_card,6,549.46
o_000436,1,credit_card,1,123.5
o_000437,1,credit_card,1,127.88
o_000438,1,credit_card,6,254.6
o_000439,1,credit_card,12,98.5
o_000440,1,credit_card,1,44.17
o_000441,1,boleto,1,106.45
o_000442,1,credit_card,8,356.22
o_000443,1,credit_card,1,142.78
o_000444,1,credit_card,1,412.34
o_000445,1,credit_card,1,40.94
o_000446,1,voucher,1,116.67
o_000447,1,credit_card,6,106.18
o_000448,1,boleto,1,64.12
o_000449,1,boleto,1,152.1
o_000450,1,boleto,1,116.81
o_000451,1,boleto,1,426.3
o_000452,1,credit_card,1,63.95
o_000453,1,boleto,1,118.01
o_000454,1,credit_card,1,66.51
o_000455,1,voucher,1,145.02
o_000456,1,credit_card,1,148.62
o_000457,1,credit_card,3,198.59
o_000458,1,boleto,1,288.79
o_000459,1,credit_card,4,49.36
o_000460,1,credit_card,3,114.86
o_000461,1,credit_card,4,566.54
o_000462,1,boleto,1,152.36
o_000463,1,boleto,1,94.09
o_000464,1,voucher,1,94.04
o_000465,1,credit_card,12,225.75
o_000466,1,credit_card,4,102.06
o_000467,1,credit_card,6,358.64
o_000468,1,credit_card,6,33.11
o_000469,1,credit_card,6,251.19
o_000470,1,credit_card,1,84.82
o_000471,1,boleto,1,44.89
o_000472,1,credit_card,10,47.04
o_000473,1,boleto,1,121.08
o_000474,1,credit_card,1,93.49
o_000475,1,credit_card,1,78.49
o_000476,1,credit_card,4,255.23
o_000477,1,credit_card,2,66.44
o_000478,1,credit_card,4,138.14
o_000479,1,voucher,1,28.81
o_000480,1,credit_card,3,37.07
o_000481,1,credit_card,1,93.32
o_000482,1,credit_card,3,47.38
o_000483,1,credit_card,12,727.69
o_000484,1,credit_card,4,416.54
o_000485,1,credit_card,6,277.03
o_000486,1,credit_card,2,209.68
o_000487,1,boleto,1,41.99
o_000488,1,credit_card,10,75.97
o_000489,1,credit_card,1,68.12
o_000490,1,boleto,1,134.89
o_000491,1,credit_card,2,120.5
o_000492,1,credit_card,3,40.84
o_000493,1,credit_card,1,98.48
o_000494,1,credit_card,6,187.97
o_000495,1,credit_card,1,136.99
o_000496,1,credit_card,2,48.09
o_000497,1,voucher,1,566.89
o_000498,1,boleto,1,57.52
o_000499,1,credit_card,1,134.64
o_000500,1,boleto,1,71.89
o_000501,1,credit_card,1,142.58
o_000502,1,credit_card,3,60.17
o_000503,1,credit_card,1,45.02
o_000504,1,credit_card,2,90.61
o_000505,1,credit_card,1,106.16
o_000506,1,credit_card,1,53.26
o_000507,1,credit_card,1,97.12
o_000508,1,credit_card,12,152.6
o_000509,1,credit_card,10,89.21
o_000510,1,credit_card,1,369.07
o_000511,1,credit_card,6,143.37
o_000512,1,boleto,1,197.01
o_000513,1,credit_card,6,75.43
o_000514,1,credit_card,1,94.23
o_000515,1,boleto,1,128.83
o_000516,1,credit_card,1,226.62
o_000517,1,credit_card,1,208.36
o_000518,1,credit_card,2,30.27
o_000519,1,credit_card,8,107.28
o_000520,1,voucher,1,137.88
o_000521,1,credit_card,1,316.7
o_000522,1,credit_card,1,66.4
o_000523,1,boleto,1,67.39
o_000524,1,voucher,1,557.05
o_000525,1,boleto,1,403.36
o_000526,1,credit_card,6,186.18
o_000527,1,boleto,1,223.56
o_000528,1,credit_card,6,72.58
o_000529,1,credit_card,1,96.33
o_000530,1,boleto,1,89.0
o_000531,1,credit_card,1,192.08
o_000532,1,credit_card,1,124.69
o_000533,1,voucher,1,76.7
o_000534,1,credit_card,3,136.96
o_000535,1,credit_card,8,78.42
o_000536,1,boleto,1,149.1
o_000537,1,credit_card,2,29.17
o_000538,1,credit_card,10,33.87
o_000539,1,voucher,1,101.6
o_000540,1,credit_card,1,319.64
o_000541,1,credit_card,3,467.16
o_000542,1,credit_card,2,183.67
o_000543,1,boleto,1,194.12
o_000544,1,credit_card,1,25.29
o_000545,1,credit_card,1,223.86
o_000546,1,credit_card,8,32.39
o_000547,1,credit_card,1,178.28
o_000548,1,credit_card,4,41.5
o_000549,1,credit_card,10,42.07
o_000550,1,credit_card,10,50.86
o_000551,1,credit_card,6,78.83
o_000552,1,credit_card,1,28.95
o_000553,1,credit_card,1,241.19
o_000554,1,credit_card,2,507.15
o_000555,1,credit_card,3,161.57
o_000556,1,credit_card,3,608.18
o_000557,1,voucher,1,49.54
o_000558,1,boleto,1,127.51
o_000559,1,boleto,1,88.79
o_000560,1,credit_card,3,156.64
o_000561,1,credit_card,4,432.21
o_000562,1,credit_card,1,299.73
o_000563,1,credit_card,1,75.43
o_000564,1,credit_card,1,112.17
o_000565,1,credit_card,1,128.78
o_000566,1,credit_card,3,135.76
o_000567,1,credit_card,4,133.83
o_000568,1,boleto,1,556.53
o_000569,1,voucher,1,296.84
o_000570,1,credit_card,1,101.83
o_000571,1,credit_card,1,122.4
o_000572,1,credit_card,8,166.45
o_000573,1,debit_card,1,118.17
o_000574,1,boleto,1,303.81
o_000575,1,boleto,1,61.93
o_000576,1,boleto,1,200.44
o_000577,1,voucher,1,239.87
o_000578,1,credit_card,6,77.92
o_000579,1,credit_card,3,111.94
o_000580,1,credit_card,1,144.42
o_000581,1,credit_card,4,162.39
o_000582,1,credit_card,4,321.67
o_000583,1,credit_card,10,54.9
o_000584,1,credit_card,1,108.61
o_000585,1,credit_card,2,173.94
o_000586,1,credit_card,4,45.29
o_000587,1,credit_card,6,116.63
o_000588,1,credit_card,3,71.28
o_000589,1,credit_card,6,233.9
o_000590,1,credit_card,4,227.8
o_000591,1,boleto,1,75.9
o_000592,1,credit_card,1,91.21
o_000593,1,credit_card,2,343.95
o_000594,1,credit_card,1,88.68
o_000595,1,credit_card,3,90.43
o_000596,1,credit_card,4,246.58
o_000597,1,credit_card,10,173.64
o_000598,1,credit_card,3,93.94
o_000599,1,credit_card,1,533.24
o_000600,1,credit_card,8,199.92
o_000601,1,boleto,1,290.14
o_000602,1,credit_card,2,120.53
o_000603,1,credit_card,3,151.98
o_000604,1,credit_card,1,56.69
o_000605,1,voucher,1,133.79
o_000606,1,credit_card,8,463.15
o_000607,1,voucher,1,92.62
o_000608,1,voucher,1,81.61
o_000609,1,credit_card,2,165.22
o_000610,1,credit_card,1,137.15
o_000611,1,credit_card,4,123.11
o_000612,1,boleto,1,112.32
o_000613,1,credit_card,3,218.36
o_000614,1,credit_card,1,149.57
o_000615,1,boleto,1,83.49
o_000616,1,credit_card,3,111.51
o_000617,1,credit_card,2,138.37
o_000618,1,debit_card,1,179.45
o_000619,1,credit_card,6,237.64
o_000620,1,credit_card,2,167.36
o_000621,1,boleto,1,310.83
o_000622,1,credit_card,1,75.42
o_000623,1,credit_card,1,272.73
o_000624,1,credit_card,1,48.97
o_000625,1,boleto,1,99.32
o_000626,1,credit_card,6,43.63
o_000627,1,credit_card,1,119.35
o_000628,1,credit_card,1,80.24
o_000629,1,boleto,1,77.95
o_000630,1,boleto,1,59.86
o_000631,1,credit_card,3,171.63
o_000632,1,credit_card,3,96.99
o_000633,1,credit_card,2,151.45
o_000634,1,credit_card,2,105.5
o_000635,1,credit_card,4,42.33
o_000636,1,boleto,1,179.91
o_000637,1,boleto,1,353.2
o_000638,1,credit_card,3,47.77
o_000639,1,credit_card,1,63.35
o_000640,1,credit_card,1,144.45
o_000641,1,credit_card,1,184.67
o_000642,1,credit_card,1,72.43
o_000643,1,credit_card,1,89.33
o_000644,1,credit_card,4,174.49
o_000645,1,credit_card,1,114.07
o_000646,1,credit_card,3,406.47
o_000647,1,credit_card,10,192.45
o_000648,1,credit_card,8,122.65
o_000649,1,credit_card,6,121.48
o_000650,1,voucher,1,72.07
o_000651,1,credit_card,4,152.76
o_000652,1,boleto,1,52.06
o_000653,1,credit_card,1,78.86
o_000654,1,voucher,1,390.53
o_000655,1,credit_card,1,152.49
o_000656,1,boleto,1,84.36
o_000657,1,voucher,1,290.01
o_000658,1,credit_card,1,145.29
o_000659,1,credit_card,6,213.98
o_000660,1,credit_card,6,99.57
o_000661,1,boleto,1,71.61
o_000662,1,credit_card,1,187.65
o_000663,1,credit_card,1,88.63
o_000664,1,credit_card,6,66.8
o_000665,1,credit_card,1,87.2
o_000666,1,credit_card,1,356.84
o_000667,1,credit_card,1,215.37
o_000668,1,credit_card,1,345.43
o_000669,1,credit_card,4,179.16
o_000670,1,credit_card,1,300.48
o_000671,1,credit_card,3,116.0
o_000672,1,boleto,1,96.39
o_000673,1,boleto,1,73.87
o_000674,1,voucher,1,112.7
o_000675,1,credit_card,8,159.36
o_000676,1,credit_card,2,69.61
o_000677,1,credit_card,1,133.43
o_000678,1,credit_card,4,81.24
o_000679,1,credit_card,1,96.85
o_000680,1,boleto,1,170.94
o_000681,1,voucher,1,104.95
o_000682,1,credit_card,4,230.35
o_000683,1,boleto,1,64.06
o_000684,1,credit_card,2,151.57
o_000685,1,boleto,1,119.07
o_000686,1,boleto,1,56.12
o_000687,1,voucher,1,93.76
o_000688,1,credit_card,1,76.02
o_000689,1,credit_card,1,117.34
o_000690,1,credit_card,1,40.43
o_000691,1,boleto,1,228.91
o_000692,1,boleto,1,133.28
o_000693,1,credit_card,1,200.8
o_000694,1,credit_card,2,145.44
o_000695,1,credit_card,1,165.96
o_000696,1,credit_card,2,384.5
o_000697,1,credit_card,10,221.56
o_000698,1,voucher,1,51.94
o_000699,1,credit_card,4,162.95
o_000700,1,credit_card,4,263.93
o_000701,1,credit_card,1,224.01
o_000702,1,boleto,1,228.26
o_000703,1,credit_card,4,1045.37
o_000704,1,credit_card,1,121.51
o_000705,1,credit_card,1,50.89
o_000706,1,credit_card,10,179.39
o_000707,1,credit_card,1,90.53
o_000708,1,boleto,1,55.88
o_000709,1,credit_card,1,154.27
o_000710,1,boleto,1,67.1
o_000711,1,credit_card,4,184.33
o_000712,1,boleto,1,257.96
o_000713,1,credit_card,2,105.16
o_000714,1,credit_card,1,106.05
o_000715,1,credit_card,1,222.62
o_000716,1,credit_card,10,242.42
o_000717,1,debit_card,1,204.08
o_000718,1,credit_card,1,354.31
o_000719,1,credit_card,3,173.95
o_000720,1,credit_card,1,111.35
o_000721,1,credit_card,1,60.29
o_000722,1,credit_card,2,35.6
o_000723,1,boleto,1,380.51
o_000724,1,credit_card,4,96.45
o_000725,1,credit_card,4,201.66
o_000726,1,credit_card,1,312.99
o_000727,1,voucher,1,54.99
o_000728,1,credit_card,8,83.46
o_000729,1,voucher,1,85.21
o_000730,1,credit_card,8,369.53
o_000731,1,credit_card,8,58.41
o_000732,1,credit_card,1,242.52
o_000733,1,boleto,1,512.29
o_000734,1,boleto,1,175.76
o_000735,1,credit_card,1,64.16
o_000736,1,boleto,1,196.27
o_000737,1,credit_card,1,370.1
o_000738,1,credit_card,4,214.08
o_000739,1,boleto,1,57.19
o_000740,1,credit_card,1,51.35
o_000741,1,credit_card,1,390.81
o_000742,1,credit_card,10,194.94
o_000743,1,credit_card,8,144.2
o_000744,1,voucher,1,267.39
o_000745,1,credit_card,2,186.99
o_000746,1,voucher,1,137.52
o_000747,1,boleto,1,338.91
o_000748,1,voucher,1,30.55
o_000749,1,credit_card,6,132.96
o_000750,1,credit_card,1,76.25
o_000751,1,boleto,1,276.85
o_000752,1,credit_card,1,163.04
o_000753,1,credit_card,1,171.21
o_000754,1,boleto,1,53.16
o_000755,1,credit_card,2,54.45
o_000756,1,credit_card,2,794.13
o_000757,1,credit_card,2,413.77
o_000758,1,boleto,1,775.3
o_000759,1,credit_card,1,276.2
o_000760,1,boleto,1,199.84
o_000761,1,credit_card,1,39.33
o_000762,1,credit_card,1,405.36
o_000763,1,credit_card,1,159.29
o_000764,1,credit_card,4,65.18
o_000765,1,credit_card,2,105.32
o_000766,1,credit_card,1,148.28
o_000767,1,credit_card,2,138.38
o_000768,1,boleto,1,55.32
o_000769,1,credit_card,1,35.03
o_000770,1,credit_card,1,149.02
o_000771,1,credit_card,10,252.9
o_000772,1,credit_card,1,326.72
o_000773,1,credit_card,2,121.75
o_000774,1,credit_card,1,75.55
o_000775,1,credit_card,6,58.94
o_000776,1,credit_card,6,48.98
o_000777,1,credit_card,1,41.99
o_000778,1,boleto,1,263.73
o_000779,1,boleto,1,358.66
o_000780,1,credit_card,1,98.51
o_000781,1,boleto,1,54.21
o_000782,1,credit_card,6,319.97
o_000783,1,credit_card,8,45.34
o_000784,1,credit_card,4,135.91
o_000785,1,credit_card,2,78.48
