order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
o_000040,c_005832,delivered,2018-03-04 21:48:42,2018-03-04 22:02:42,2018-03-06 04:16:10,2018-03-10 23:35:33,2018-03-15 01:33:04
o_000041,c_002122,delivered,2018-04-25 09:26:31,2018-04-25 10:43:31,2018-04-27 23:36:30,2018-05-02 22:17:10,2018-05-12 11:42:51
o_000042,c_004069,delivered,2017-09-26 11:34:16,2017-09-26 12:21:16,2017-09-28 05:15:38,2017-10-04 02:25:06,2017-10-12 07:53:40
o_000043,c_003967,delivered,2017-02-05 08:25:54,2017-02-05 08:28:54,2017-02-07 14:42:31,2017-02-09 18:56:17,2017-02-14 22:19:57
o_000044,c_007527,delivered,2017-06-04 04:14:11,2017-06-04 04:18:11,2017-06-06 14:07:37,2017-06-12 11:51:03,2017-06-21 17:52:36
o_000045,c_000461,delivered,2017-04-03 11:35:01,2017-04-03 11:50:01,2017-04-05 01:22:32,2017-04-10 16:06:23,2017-04-13 17:52:19
o_000046,c_006775,delivered,2017-12-02 17:59:07,2017-12-02 18:05:07,2017-12-05 10:54:46,2017-12-07 15:05:47,2017-12-13 00:02:27
o_000047,c_001573,delivered,2018-02-18 21:27:10,2018-02-18 22:05:10,2018-02-20 23:28:31,2018-02-23 13:01:47,2018-03-02 19:34:08
o_000048,c_006917,delivered,2018-01-07 11:07:56,2018-01-07 12:40:56,2018-01-09 02:17:41,2018-01-11 23:40:10,2018-01-21 00:16:49
o_000049,c_001721,delivered,2018-03-08 20:35:54,2018-03-08 23:31:54,2018-03-11 02:02:03,2018-03-18 18:08:15,2018-03-22 19:38:58
o_000050,c_003853,delivered,2018-06-10 14:38:57,2018-06-10 14:43:57,2018-06-13 01:39:55,2018-06-17 10:34:44,2018-06-22 22:51:46
o_000051,c_007901,delivered,2018-05-10 09:50:34,2018-05-10 10:39:34,2018-05-12 11:48:30,2018-05-20 21:33:00,2018-05-25 14:32:15
o_000052,c_006074,delivered,2017-07-12 10:34:26,2017-07-12 10:48:26,2017-07-12 23:41:41,2017-07-29 02:04:08,2017-08-03 16:13:25
o_000053,c_006592,delivered,2017-02-07 09:44:28,2017-02-07 10:45:28,2017-02-10 07:48:38,2017-02-13 15:19:52,2017-02-19 03:14:17
o_000054,c_007512,delivered,2017-06-21 11:24:55,2017-06-21 11:32:55,2017-06-23 18:05:30,2017-07-04 07:46:52,2017-07-07 13:14:18
o_000055,c_004620,delivered,2017-01-08 12:06:31,2017-01-08 12:34:31,2017-01-09 17:31:53,2017-01-12 08:20:22,2017-01-19 05:08:12
o_000056,c_005786,delivered,2018-07-15 19:35:26,2018-07-15 19:37:26,2018-07-16 19:12:19,2018-07-22 16:56:21,2018-07-31 16:04:38
o_000057,c_005016,delivered,2017-12-26 20:05:56,2017-12-26 20:27:56,2017-12-29 17:09:21,2018-01-13 02:41:58,2018-01-20 20:39:48
o_000058,c_002743,delivered,2017-09-22 13:20:14,2017-09-22 13:21:14,2017-09-23 18:17:02,2017-10-04 06:00:00,2017-10-12 13:31:01
o_000059,c_000067,delivered,2018-05-26 18:16:37,2018-05-26 18:39:37,2018-05-28 21:11:39,2018-06-13 13:06:32,2018-06-21 13:28:11
o_000060,c_004794,delivered,2017-03-26 19:51:10,2017-03-26 21:02:10,2017-03-28 23:30:32,2017-04-13 06:49:12,2017-04-19 17:36:23
o_000061,c_006382,delivered,2018-03-08 20:29:00,2018-03-08 20:58:00,2018-03-10 17:38:05,2018-03-16 19:09:10,2018-03-26 02:59:15
o_000062,c_002810,delivered,2017-04-02 08:12:53,2017-04-02 08:17:53,2017-04-04 14:56:15,2017-04-08 01:48:03,2017-04-12 21:57:41
o_000063,c_006238,delivered,2018-06-04 18:57:46,2018-06-04 19:07:46,2018-06-05 10:47:22,2018-06-07 20:48:24,2018-06-17 07:50:47
o_000064,c_003760,delivered,2017-03-28 14:16:37,2017-03-28 14:23:37,2017-03-30 12:18:10,2017-04-11 11:57:03,2017-04-21 11:55:28
o_000065,c_007697,delivered,2017-05-28 14:37:16,2017-05-28 14:46:16,2017-05-30 20:29:01,2017-06-02 13:04:55,2017-06-08 02:18:27
o_000066,c_000976,delivered,2018-04-01 23:39:28,2018-04-02 00:09:28,2018-04-03 19:56:12,2018-04-28 07:28:32,2018-05-02 09:10:38
o_000067,c_003274,delivered,2018-07-24 12:46:15,2018-07-24 13:45:15,2018-07-25 00:57:38,2018-07-30 15:35:23,2018-08-08 03:35:37
o_000068,c_000002,delivered,2018-03-01 12:44:13,2018-03-01 13:48:13,2018-03-03 20:52:42,2018-03-11 04:00:28,2018-03-15 13:19:33
o_000069,c_003278,delivered,2017-07-05 06:20:11,2017-07-05 07:13:11,2017-07-07 14:07:51,2017-07-14 17:06:56,2017-07-22 17:09:52
o_000070,c_000568,delivered,2017-07-14 13:53:41,2017-07-14 13:53:41,2017-07-16 17:43:49,2017-07-21 13:03:13,2017-07-29 00:23:15
o_000071,c_006021,delivered,2018-04-27 15:01:13,2018-04-27 15:52:13,2018-04-30 09:49:05,2018-05-04 01:02:27,2018-05-10 14:53:34
o_000072,c_001348,delivered,2018-08-20 14:19:35,2018-08-20 14:31:35,2018-08-22 21:43:12,2018-09-04 10:53:38,2018-09-08 13:14:41
o_000073,c_006942,delivered,2018-07-06 09:18:24,2018-07-06 09:20:24,2018-07-08 14:19:02,2018-07-18 21:39:52,2018-07-22 01:03:55
o_000074,c_003847,delivered,2018-05-28 20:07:56,2018-05-28 21:00:56,2018-05-29 22:59:31,2018-06-07 15:21:48,2018-06-13 17:13:41
o_000075,c_003593,delivered,2018-02-15 08:22:35,2018-02-15 08:49:35,2018-02-16 23:39:54,2018-02-25 19:29:04,2018-03-04 18:51:27
o_000076,c_000002,delivered,2017-02-04 16:09:51,2017-02-04 16:15:51,2017-02-07 09:57:16,2017-02-15 02:09:28,2017-02-20 01:52:52
o_000077,c_005131,delivered,2018-08-12 07:10:33,2018-08-12 08:48:33,2018-08-13 09:54:12,2018-08-20 00:51:43,2018-08-27 19:40:00
o_000078,c_007003,delivered,2017-03-12 20:43:30,2017-03-12 22:45:30,2017-03-14 04:44:51,2017-03-20 12:47:25,2017-03-25 21:50:31
o_000079,c_005579,delivered,2017-02-26 13:32:46,2017-02-26 13:44:46,2017-02-27 07:42:42,2017-03-04 18:51:48,2017-03-09 08:19:29
o_000080,c_002665,delivered,2018-05-08 20:04:06,2018-05-08 20:10:06,2018-05-11 09:13:01,2018-05-16 12:53:53,2018-05-24 04:06:22
o_000081,c_003421,delivered,2018-08-24 11:39:43,2018-08-24 11:56:43,2018-08-25 11:20:05,2018-09-04 18:29:38,2018-09-12 10:18:42
o_000082,c_000786,delivered,2018-06-22 21:17:04,2018-06-22 21:30:04,2018-06-24 17:33:56,2018-06-29 20:57:50,2018-07-09 07:36:31
o_000083,c_000916,delivered,2018-04-21 18:58:37,2018-04-21 19:51:37,2018-04-22 10:55:26,2018-04-25 23:50:08,2018-04-29 03:21:57
o_000084,c_001232,delivered,2017-04-24 15:29:42,2017-04-24 15:29:42,2017-04-25 12:15:19,2017-05-02 00:40:42,2017-05-07 00:21:40
o_000085,c_006157,delivered,2017-04-07 10:30:28,2017-04-07 10:50:28,2017-04-10 10:13:24,2017-04-27 21:47:24,2017-05-02 18:19:36
o_000086,c_003174,delivered,2017-12-24 14:57:25,2017-12-24 15:23:25,2017-12-25 20:19:32,2018-01-05 22:09:15,2018-01-09 12:39:47
o_000087,c_001778,delivered,2018-08-19 11:47:04,2018-08-19 12:25:04,2018-08-21 04:16:02,2018-08-26 21:55:00,2018-09-02 07:13:22
o_000088,c_000330,delivered,2017-08-22 15:24:05,2017-08-22 15:32:05,2017-08-23 17:59:56,2017-08-30 12:58:45,2017-09-09 11:37:52
o_000089,c_000540,delivered,2018-03-11 17:45:26,2018-03-11 18:07:26,2018-03-12 22:14:15,2018-03-18 14:25:34,2018-03-26 02:55:35
o_000090,c_006001,delivered,2017-12-27 15:36:53,2017-12-27 15:38:53,2017-12-30 08:34:54,2018-01-02 04:32:23,2018-01-07 12:52:25
o_000091,c_004358,delivered,2018-01-18 05:22:49,2018-01-18 05:25:49,2018-01-19 21:48:25,2018-01-27 12:24:12,2018-02-04 22:37:28
o_000092,c_002096,delivered,2017-10-14 17:57:15,2017-10-14 18:54:15,2017-10-16 23:48:52,2017-10-21 14:28:59,2017-10-31 09:17:17
o_000093,c_005824,delivered,2017-12-09 13:41:26,2017-12-09 13:53:26,2017-12-11 16:26:21,2017-12-20 18:46:14,2017-12-27 10:59:27
o_000094,c_000488,delivered,2018-01-26 09:34:14,2018-01-26 09:39:14,2018-01-28 22:31:31,2018-02-11 11:00:10,2018-02-20 16:20:13
o_000095,c_007430,delivered,2017-01-13 14:58:19,2017-01-13 16:00:19,2017-01-14 12:42:17,2017-01-24 12:08:13,2017-02-03 04:14:08
o_000096,c_004493,delivered,2017-05-09 21:28:10,2017-05-09 21:56:10,2017-05-12 17:03:34,2017-05-20 15:36:38,2017-05-23 18:26:38
o_000097,c_006927,delivered,2017-08-27 11:20:09,2017-08-27 11:54:09,2017-08-28 06:11:08,2017-09-04 12:17:51,2017-09-12 18:05:46
o_000098,c_003682,delivered,2017-11-04 12:36:54,2017-11-04 12:41:54,2017-11-06 04:49:25,2017-11-11 13:29:32,2017-11-21 07:54:51
o_000099,c_001679,delivered,2018-08-20 21:13:51,2018-08-20 21:43:51,2018-08-22 13:23:30,2018-08-30 02:51:18,2018-09-02 19:28:33
o_000100,c_001876,delivered,2017-08-27 12:40:20,2017-08-27 13:01:20,2017-08-28 17:10:15,2017-09-01 07:51:06,2017-09-11 03:00:45
o_000101,c_005004,delivered,2017-03-12 09:14:46,2017-03-12 09:24:46,2017-03-14 08:17:00,2017-03-20 01:25:02,2017-03-27 19:03:47
o_000102,c_006481,delivered,2018-02-08 14:36:29,2018-02-08 15:06:29,2018-02-11 05:35:59,2018-02-23 21:04:03,2018-02-27 05:26:53
o_000103,c_005532,delivered,2018-05-01 21:41:30,2018-05-01 21:48:30,2018-05-03 23:46:44,2018-05-11 18:49:16,2018-05-20 09:50:56
o_000104,c_000468,delivered,2017-11-26 12:39:58,2017-11-26 12:53:58,2017-11-28 07:44:52,2017-12-02 06:09:24,2017-12-11 00:10:31
o_000105,c_000840,delivered,2018-03-15 17:42:12,2018-03-15 18:38:12,2018-03-17 03:38:44,2018-03-31 16:31:29,2018-04-06 00:55:28
o_000106,c_003449,delivered,2018-03-07 12:54:17,2018-03-07 13:42:17,2018-03-09 10:23:19,2018-03-17 06:07:08,2018-03-25 05:01:22
o_000107,c_007548,delivered,2018-04-26 11:40:40,2018-04-26 12:18:40,2018-04-29 02:39:29,2018-04-30 14:08:23,2018-05-05 02:12:52
o_000108,c_005086,delivered,2017-11-14 18:09:27,2017-11-14 19:06:27,2017-11-16 17:39:35,2017-11-17 19:08:20,2017-11-26 18:44:18
o_000109,c_004156,delivered,2017-10-10 12:53:13,2017-10-10 14:26:13,2017-10-11 01:40:35,2017-10-16 16:59:40,2017-10-23 07:55:34
o_000110,c_000932,delivered,2018-02-20 18:30:39,2018-02-20 20:52:39,2018-02-22 01:42:44,2018-03-03 01:29:33,2018-03-07 10:20:16
o_000111,c_007532,delivered,2018-07-25 19:21:06,2018-07-25 19:39:06,2018-07-28 10:33:00,2018-08-08 08:34:55,2018-08-11 17:33:05
o_000112,c_002832,delivered,2017-08-13 14:13:49,2017-08-13 14:30:49,2017-08-15 07:42:41,2017-08-25 06:52:55,2017-08-31 11:40:14
o_000113,c_007454,delivered,2018-07-05 23:47:14,2018-07-05 23:48:14,2018-07-07 16:31:46,2018-07-29 18:59:50,2018-08-02 14:01:12
o_000114,c_003070,delivered,2018-07-24 16:03:14,2018-07-24 16:43:14,2018-07-25 15:05:17,2018-08-04 16:42:59,2018-08-09 18:59:41
o_000115,c_003642,delivered,2017-11-03 13:20:47,2017-11-03 14:03:47,2017-11-05 23:57:16,2017-11-11 11:46:48,2017-11-15 04:24:07
o_000116,c_001623,delivered,2017-10-22 17:43:58,2017-10-22 18:09:58,2017-10-24 23:52:11,2017-10-27 15:04:46,2017-11-03 07:55:42
o_000117,c_003950,delivered,2017-01-09 16:09:42,2017-01-09 16:22:42,2017-01-11 23:57:02,2017-01-19 23:35:07,2017-01-23 04:18:17
o_000118,c_005550,delivered,2018-04-16 09:21:00,2018-04-16 09:30:00,2018-04-19 03:48:18,2018-04-25 11:03:47,2018-05-01 22:55:32
o_000119,c_007941,delivered,2017-02-12 08:22:27,2017-02-12 09:38:27,2017-02-13 08:51:38,2017-02-18 09:46:17,2017-02-23 15:09:32
o_000120,c_000799,delivered,2018-04-27 17:59:58,2018-04-27 18:04:58,2018-04-29 22:34:14,2018-05-11 02:58:37,2018-05-18 18:03:45
o_000121,c_007454,shipped,2018-04-02 06:37:47,2018-04-02 06:52:47,2018-04-03 01:03:55,,2018-05-06 07:20:24
o_000122,c_003473,delivered,2018-06-07 10:51:57,2018-06-07 11:07:57,2018-06-08 03:09:31,2018-06-17 14:14:24,2018-06-24 18:51:53
o_000123,c_007930,delivered,2017-06-09 16:52:22,2017-06-09 17:14:22,2017-06-10 08:51:24,2017-06-14 08:39:11,2017-06-19 20:58:37
o_000124,c_000885,delivered,2017-10-04 19:09:59,2017-10-04 19:25:59,2017-10-06 17:32:39,2017-10-09 05:31:33,2017-10-17 07:29:27
o_000125,c_003311,delivered,2018-02-24 17:35:08,2018-02-24 19:48:08,2018-02-26 20:04:30,2018-03-07 22:10:00,2018-03-15 22:42:19
o_000126,c_003080,delivered,2018-07-24 15:40:25,2018-07-24 16:26:25,2018-07-25 19:55:03,2018-08-05 09:43:02,2018-08-08 12:41:50
o_000127,c_007682,delivered,2018-02-10 20:41:08,2018-02-10 20:44:08,2018-02-12 07:46:37,2018-02-21 07:40:21,2018-02-28 20:01:45
o_000128,c_004733,delivered,2018-08-26 17:37:13,2018-08-26 18:05:13,2018-08-27 19:39:55,2018-08-30 15:07:04,2018-09-05 01:24:51
o_000129,c_003044,delivered,2018-07-18 10:58:19,2018-07-18 11:23:19,2018-07-20 15:48:00,2018-08-04 19:24:58,2018-08-09 05:34:16
o_000130,c_002630,delivered,2017-12-27 09:12:54,2017-12-27 09:21:54,2017-12-29 08:23:45,2017-12-31 19:13:23,2018-01-07 16:58:11
o_000131,c_003481,delivered,2018-06-22 07:55:21,2018-06-22 08:19:21,2018-06-24 22:12:36,2018-07-01 23:57:24,2018-07-11 02:10:02
o_000132,c_000908,delivered,2017-06-04 14:56:14,2017-06-04 15:17:14,2017-06-07 02:22:33,2017-06-26 15:42:38,2017-07-04 14:11:00
o_000133,c_001697,delivered,2018-03-23 13:59:22,2018-03-23 15:41:22,2018-03-26 07:38:58,2018-04-03 22:37:22,2018-04-08 21:52:22
o_000134,c_000298,delivered,2018-01-05 10:16:59,2018-01-05 10:31:59,2018-01-08 03:05:39,2018-01-12 17:19:11,2018-01-17 17:56:56
o_000135,c_006876,delivered,2017-07-03 12:15:43,2017-07-03 12:34:43,2017-07-05 15:18:08,2017-07-07 13:55:47,2017-07-11 04:13:06
o_000136,c_003744,delivered,2018-06-12 11:56:47,2018-06-12 12:10:47,2018-06-15 08:44:35,2018-06-18 22:07:26,2018-06-27 03:58:40
o_000137,c_004420,delivered,2018-04-17 08:56:20,2018-04-17 09:12:20,2018-04-19 01:24:03,2018-04-22 04:05:01,2018-04-26 10:33:15
o_000138,c_001699,delivered,2018-03-23 12:19:33,2018-03-23 13:30:33,2018-03-26 01:09:30,2018-03-26 18:03:08,2018-03-31 20:18:30
o_000139,c_005710,delivered,2017-09-12 13:44:15,2017-09-12 13:55:15,2017-09-13 10:44:40,2017-09-26 21:06:11,2017-10-03 12:42:50
o_000140,c_003704,delivered,2018-05-23 19:01:11,2018-05-23 23:28:11,2018-05-25 21:54:50,2018-05-28 09:02:45,2018-06-07 01:43:04
o_000141,c_003273,delivered,2017-12-24 12:36:28,2017-12-24 13:07:28,2017-12-25 22:03:41,2017-12-29 18:49:41,2018-01-04 17:09:29
o_000142,c_001859,delivered,2017-02-03 09:41:28,2017-02-03 10:30:28,2017-02-04 03:08:00,2017-02-15 21:57:12,2017-02-19 07:18:32
o_000143,c_000998,delivered,2018-04-16 08:04:38,2018-04-16 08:13:38,2018-04-17 00:28:52,2018-05-02 12:18:10,2018-05-06 03:36:45
o_000144,c_006526,delivered,2017-08-02 16:24:26,2017-08-02 17:08:26,2017-08-04 11:06:05,2017-08-09 18:27:40,2017-08-15 16:05:38
o_000145,c_007214,delivered,2018-07-04 07:46:17,2018-07-04 08:09:17,2018-07-05 01:02:55,2018-07-09 16:21:00,2018-07-16 13:20:44
o_000146,c_007100,delivered,2017-10-05 08:57:49,2017-10-05 10:15:49,2017-10-06 07:58:37,2017-10-11 09:41:13,2017-10-19 16:01:36
o_000147,c_005348,delivered,2017-12-22 13:59:32,2017-12-22 14:21:32,2017-12-23 14:49:45,2018-01-18 20:21:28,2018-01-28 04:24:21
o_000148,c_005932,delivered,2018-07-07 14:14:22,2018-07-07 14:21:22,2018-07-10 06:31:38,2018-07-13 00:22:09,2018-07-17 04:46:41
o_000149,c_000357,delivered,2018-06-04 11:55:34,2018-06-04 12:13:34,2018-06-07 10:00:13,2018-06-11 19:59:49,2018-06-17 08:50:24
o_000150,c_007775,delivered,2018-05-04 12:29:59,2018-05-04 12:30:59,2018-05-05 16:56:02,2018-05-15 10:33:17,2018-05-20 07:27:00
o_000151,c_001751,delivered,2017-07-22 17:58:47,2017-07-22 18:20:47,2017-07-24 13:09:44,2017-08-08 00:02:09,2017-08-15 07:49:15
o_000152,c_002387,delivered,2018-03-14 07:33:09,2018-03-14 07:40:09,2018-03-16 04:10:46,2018-03-21 12:59:24,2018-03-25 14:34:47
o_000153,c_000943,delivered,2017-12-27 00:05:58,2017-12-27 00:26:58,2017-12-27 23:25:06,2018-01-07 23:16:09,2018-01-11 00:00:05
o_000154,c_000040,delivered,2017-08-21 12:33:38,2017-08-21 12:38:38,2017-08-23 17:25:31,2017-08-27 16:10:36,2017-09-05 07:45:50
o_000155,c_000933,delivered,2017-10-15 06:27:05,2017-10-15 06:33:05,2017-10-15 21:39:00,2017-10-31 01:06:12,2017-11-06 03:00:37
o_000156,c_006503,delivered,2018-03-16 10:41:44,2018-03-16 10:49:44,2018-03-17 07:38:13,2018-04-04 16:47:04,2018-04-13 05:50:38
o_000157,c_007491,delivered,2018-02-06 20:43:40,2018-02-06 22:54:40,2018-02-08 16:11:04,2018-02-15 23:49:20,2018-02-20 07:58:30
o_000158,c_004072,delivered,2017-06-02 17:40:24,2017-06-02 18:08:24,2017-06-03 18:03:54,2017-06-06 04:13:45,2017-06-11 18:10:58
o_000159,c_001226,delivered,2018-08-12 06:09:54,2018-08-12 06:29:54,2018-08-14 01:43:53,2018-09-05 09:06:04,2018-09-12 14:22:36
o_000160,c_001290,delivered,2018-04-10 19:27:42,2018-04-10 19:34:42,2018-04-13 03:18:44,2018-04-16 10:26:25,2018-04-22 11:54:28
o_000161,c_006927,delivered,2017-10-12 08:54:33,2017-10-12 09:14:33,2017-10-14 04:26:57,2017-10-18 12:15:24,2017-10-27 02:59:56
o_000162,c_003688,delivered,2018-07-22 19:25:19,2018-07-22 19:46:19,2018-07-24 06:48:59,2018-08-06 05:18:56,2018-08-09 14:23:41
o_000163,c_004160,delivered,2018-01-01 10:59:59,2018-01-01 11:32:59,2018-01-04 07:18:23,2018-01-12 13:16:54,2018-01-22 07:02:06
o_000164,c_001504,delivered,2018-06-23 09:05:55,2018-06-23 09:35:55,2018-06-24 22:29:41,2018-07-04 08:44:31,2018-07-09 02:52:36
o_000165,c_004806,delivered,2018-02-03 17:58:54,2018-02-03 18:14:54,2018-02-05 18:34:19,2018-02-13 11:04:08,2018-02-19 15:36:00
o_000166,c_007618,delivered,2018-04-25 21:27:31,2018-04-25 21:28:31,2018-04-28 20:47:19,2018-05-13 09:51:14,2018-05-17 16:35:08
o_000167,c_000838,delivered,2017-09-16 09:32:57,2017-09-16 09:42:57,2017-09-17 09:12:53,2017-10-01 20:57:22,2017-10-10 09:02:11
o_000168,c_000512,delivered,2017-07-09 17:37:58,2017-07-09 17:38:58,2017-07-11 05:43:21,2017-07-18 22:16:07,2017-07-28 04:19:44
o_000169,c_007392,delivered,2018-05-14 22:38:41,2018-05-14 23:15:41,2018-05-15 22:48:09,2018-05-21 13:04:38,2018-05-28 01:23:02
o_000170,c_002502,delivered,2017-12-20 12:58:25,2017-12-20 13:05:25,2017-12-22 07:51:55,2017-12-27 19:08:17,2018-01-01 19:10:20
o_000171,c_003075,delivered,2018-01-22 16:16:39,2018-01-22 16:50:39,2018-01-24 23:59:12,2018-01-26 00:30:07,2018-02-03 02:55:59
o_000172,c_006737,delivered,2018-04-21 15:43:19,2018-04-21 16:01:19,2018-04-23 04:28:46,2018-05-02 18:22:49,2018-05-07 00:11:39
o_000173,c_004340,delivered,2017-04-25 20:43:50,2017-04-25 22:02:50,2017-04-26 18:49:29,2017-05-03 20:40:55,2017-05-13 19:05:30
o_000174,c_002596,delivered,2018-06-11 08:32:37,2018-06-11 08:41:37,2018-06-12 22:19:16,2018-06-18 09:04:43,2018-06-22 05:16:21
o_000175,c_001421,shipped,2018-08-02 15:22:49,2018-08-02 15:48:49,2018-08-04 13:11:40,,2018-08-11 12:34:32
