order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
o_000039,1,p_2630,s_789,2018-05-10 14:04:55,106.85,16.75
o_000040,1,p_5837,s_189,2018-03-09 21:48:42,197.68,8.36
o_000041,1,p_9569,s_593,2018-04-30 09:26:31,17.37,5.5
o_000042,1,p_6503,s_538,2017-10-01 11:34:16,93.19,17.75
o_000043,1,p_3611,s_922,2017-02-10 08:25:54,95.18,5.6
o_000044,1,p_5968,s_841,2017-06-09 04:14:11,90.99,14.47
o_000045,1,p_8628,s_803,2017-04-08 11:35:01,46.28,12.91
o_000046,1,p_7365,s_104,2017-12-07 17:59:07,176.26,5.8
o_000047,1,p_9716,s_396,2018-02-23 21:27:10,17.12,13.25
o_000048,1,p_4123,s_852,2018-01-12 11:07:56,45.66,8.6
o_000049,1,p_5365,s_670,2018-03-13 20:35:54,23.72,18.95
o_000050,1,p_2642,s_647,2018-06-15 14:38:57,404.29,14.22
o_000051,1,p_2402,s_449,2018-05-15 09:50:34,263.02,14.65
o_000052,1,p_7414,s_673,2017-07-17 10:34:26,182.65,22.28
o_000053,1,p_1246,s_251,2017-02-12 09:44:28,85.95,12.26
o_000053,2,p_3266,s_974,2017-02-12 09:44:28,200.01,10.86
o_000053,3,p_6549,s_886,2017-02-12 09:44:28,205.38,6.32
o_000054,1,p_6753,s_981,2017-06-26 11:24:55,302.97,26.88
o_000055,1,p_4880,s_775,2017-01-13 12:06:31,22.92,11.39
o_000056,1,p_2481,s_267,2018-07-20 19:35:26,30.44,11.01
o_000057,1,p_9676,s_682,2017-12-31 20:05:56,203.75,66.66
o_000058,1,p_4417,s_155,2017-09-27 13:20:14,22.73,16.21
o_000059,1,p_4641,s_994,2018-05-31 18:16:37,39.6,24.13
o_000060,1,p_6294,s_503,2017-03-31 19:51:10,35.96,27.63
o_000060,2,p_5747,s_458,2017-03-31 19:51:10,67.59,23.03
o_000061,1,p_5937,s_827,2018-03-13 20:29:00,44.92,19.94
o_000062,1,p_9590,s_164,2017-04-07 08:12:53,56.17,7.53
o_000063,1,p_1815,s_852,2018-06-09 18:57:46,70.61,9.26
o_000064,1,p_8770,s_313,2017-04-02 14:16:37,112.26,24.56
o_000065,1,p_6314,s_869,2017-06-02 14:37:16,91.58,7.35
o_000065,2,p_1643,s_705,2017-06-02 14:37:16,181.65,8.54
o_000065,3,p_2503,s_340,2017-06-02 14:37:16,227.4,6.08
o_000066,1,p_4244,s_142,2018-04-06 23:39:28,28.54,69.14
o_000067,1,p_7964,s_392,2018-07-29 12:46:15,124.53,8.1
o_000068,1,p_7690,s_425,2018-03-06 12:44:13,33.24,16.26
o_000069,1,p_4020,s_876,2017-07-10 06:20:11,237.7,18.88
o_000070,1,p_5777,s_808,2017-07-19 13:53:41,17.53,12.15
o_000071,1,p_8266,s_740,2018-05-02 15:01:13,31.04,11.24
o_000072,1,p_3619,s_373,2018-08-25 14:19:35,32.68,27.48
o_000073,1,p_6887,s_970,2018-07-11 09:18:24,236.87,22.0
o_000074,1,p_6674,s_447,2018-06-02 20:07:56,114.0,15.31
o_000075,1,p_2476,s_975,2018-02-20 08:22:35,156.16,26.2
o_000076,1,p_6524,s_549,2017-02-09 16:09:51,28.37,15.89
o_000077,1,p_2338,s_455,2018-08-17 07:10:33,70.54,8.45
o_000078,1,p_2785,s_946,2017-03-17 20:43:30,100.51,12.51
o_000079,1,p_3660,s_414,2017-03-03 13:32:46,79.16,8.3
o_000080,1,p_6160,s_197,2018-05-13 20:04:06,201.11,6.24
o_000081,1,p_6507,s_634,2018-08-29 11:39:43,135.18,16.34
o_000082,1,p_5731,s_359,2018-06-27 21:17:04,32.59,10.95
o_000083,1,p_1176,s_469,2018-04-26 18:58:37,50.85,9.62
o_000084,1,p_8589,s_665,2017-04-29 15:29:42,260.13,12.48
o_000085,1,p_8530,s_286,2017-04-12 10:30:28,195.14,66.0
o_000086,1,p_3240,s_644,2017-12-29 14:57:25,44.02,29.93
o_000087,1,p_9330,s_143,2018-08-24 11:47:04,34.48,10.77
o_000087,2,p_4735,s_962,2018-08-24 11:47:04,130.23,9.87
o_000087,3,p_7730,s_112,2018-08-24 11:47:04,111.19,7.08
o_000088,1,p_3565,s_135,2017-08-27 15:24:05,233.57,15.92
o_000089,1,p_2398,s_689,2018-03-16 17:45:26,20.21,13.89
o_000090,1,p_4399,s_604,2018-01-01 15:36:53,21.22,8.85
o_000091,1,p_2415,s_179,2018-01-23 05:22:49,128.58,17.4
o_000092,1,p_2580,s_373,2017-10-19 17:57:15,60.85,5.57
o_000093,1,p_6301,s_941,2017-12-14 13:41:26,443.76,18.12
o_000094,1,p_3452,s_405,2018-01-31 09:34:14,122.08,25.51
o_000094,2,p_8283,s_513,2018-01-31 09:34:14,38.47,28.13
o_000095,1,p_9056,s_250,2017-01-18 14:58:19,241.25,12.6
o_000096,1,p_8170,s_970,2017-05-14 21:28:10,158.02,25.9
o_000096,2,p_1856,s_434,2017-05-14 21:28:10,92.28,24.94
o_000097,1,p_2613,s_596,2017-09-01 11:20:09,35.8,12.61
o_000098,1,p_2196,s_696,2017-11-09 12:36:54,50.82,10.92
o_000099,1,p_3141,s_755,2018-08-25 21:13:51,72.05,13.7
o_000100,1,p_4108,s_829,2017-09-01 12:40:20,97.3,6.06
o_000101,1,p_7870,s_964,2017-03-17 09:14:46,189.56,12.49
o_000102,1,p_5220,s_789,2018-02-13 14:36:29,57.81,24.44
o_000103,1,p_5395,s_916,2018-05-06 21:41:30,227.25,15.69
o_000104,1,p_8930,s_503,2017-12-01 12:39:58,20.74,9.29
o_000104,2,p_5021,s_435,2017-12-01 12:39:58,71.62,12.79
o_000105,1,p_2639,s_181,2018-03-20 17:42:12,157.32,25.4
o_000106,1,p_4454,s_912,2018-03-12 12:54:17,40.53,18.76
o_000107,1,p_2268,s_322,2018-05-01 11:40:40,33.09,6.4
o_000108,1,p_5932,s_439,2017-11-19 18:09:27,52.04,8.74
o_000109,1,p_2148,s_675,2017-10-15 12:53:13,195.49,18.97
o_000110,1,p_3178,s_496,2018-02-25 18:30:39,165.18,27.98
o_000111,1,p_6821,s_894,2018-07-30 19:21:06,118.96,25.65
o_000112,1,p_6899,s_876,2017-08-18 14:13:49,184.88,13.59
o_000113,1,p_1656,s_593,2018-07-10 23:47:14,174.76,67.26
o_000114,1,p_9978,s_924,2018-07-29 16:03:14,115.96,28.82
o_000115,1,p_7088,s_319,2017-11-08 13:20:47,24.13,15.03
o_000116,1,p_5040,s_246,2017-10-27 17:43:58,521.62,7.02
o_000117,1,p_7037,s_440,2017-01-14 16:09:42,128.24,12.08
o_000117,2,p_1235,s_945,2017-01-14 16:09:42,293.81,13.64
o_000118,1,p_8886,s_993,2018-04-21 09:21:00,271.34,18.92
o_000119,1,p_6465,s_563,2017-02-17 08:22:27,20.39,13.47
o_000120,1,p_4295,s_701,2018-05-02 17:59:58,130.26,25.28
o_000121,1,p_2317,s_720,2018-04-07 06:37:47,429.08,62.25
o_000122,1,p_8421,s_321,2018-06-12 10:51:57,64.9,26.4
o_000123,1,p_3825,s_488,2017-06-14 16:52:22,92.17,10.67
o_000124,1,p_7494,s_477,2017-10-09 19:09:59,78.08,8.62
o_000125,1,p_1619,s_264,2018-03-01 17:35:08,149.99,29.4
o_000126,1,p_6764,s_717,2018-07-29 15:40:25,101.02,17.39
o_000126,2,p_5331,s_476,2018-07-29 15:40:25,35.93,17.53
o_000127,1,p_3929,s_348,2018-02-15 20:41:08,262.1,28.73
o_000128,1,p_8241,s_629,2018-08-31 17:37:13,42.51,10.91
o_000129,1,p_9971,s_497,2018-07-23 10:58:19,39.21,25.19
o_000130,1,p_6155,s_548,2018-01-01 09:12:54,15.5,5.78
o_000131,1,p_1378,s_750,2018-06-27 07:55:21,224.66,12.15
o_000132,1,p_1068,s_980,2017-06-09 14:56:14,92.97,69.89
o_000133,1,p_2356,s_399,2018-03-28 13:59:22,255.11,18.02
o_000134,1,p_6784,s_321,2018-01-10 10:16:59,79.13,6.6
o_000134,2,p_2359,s_227,2018-01-10 10:16:59,401.29,9.23
o_000134,3,p_1098,s_677,2018-01-10 10:16:59,62.99,9.52
o_000135,1,p_3805,s_260,2017-07-08 12:15:43,333.66,7.59
o_000136,1,p_5887,s_782,2018-06-17 11:56:47,60.0,8.24
o_000137,1,p_6771,s_796,2018-04-22 08:56:20,60.91,9.32
o_000138,1,p_3424,s_513,2018-03-28 12:19:33,221.6,9.84
o_000139,1,p_3752,s_727,2017-09-17 13:44:15,243.25,24.09
o_000140,1,p_1382,s_219,2018-05-28 19:01:11,92.14,11.19
o_000140,2,p_7459,s_292,2018-05-28 19:01:11,44.62,11.4
o_000141,1,p_7857,s_425,2017-12-29 12:36:28,83.0,9.82
o_000142,1,p_6121,s_995,2017-02-08 09:41:28,76.25,28.75
o_000142,2,p_4486,s_514,2017-02-08 09:41:28,110.81,24.22
o_000143,1,p_4829,s_155,2018-04-21 08:04:38,38.54,29.68
o_000144,1,p_6067,s_563,2017-08-07 16:24:26,40.85,13.09
o_000145,1,p_5510,s_777,2018-07-09 07:46:17,67.79,11.94
o_000145,2,p_4152,s_666,2018-07-09 07:46:17,390.01,13.1
o_000146,1,p_3687,s_639,2017-10-10 08:57:49,57.99,7.86
o_000147,1,p_3106,s_770,2017-12-27 13:59:32,258.11,64.41
o_000148,1,p_3940,s_237,2018-07-12 14:14:22,67.76,10.19
o_000149,1,p_6053,s_115,2018-06-09 11:55:34,121.63,16.91
o_000150,1,p_1689,s_100,2018-05-09 12:29:59,123.85,12.99
o_000151,1,p_8943,s_139,2017-07-27 17:58:47,120.24,29.01
o_000152,1,p_6459,s_453,2018-03-19 07:33:09,23.04,8.13
o_000153,1,p_4736,s_586,2018-01-01 00:05:58,205.87,15.84
o_000154,1,p_3059,s_619,2017-08-26 12:33:38,42.54,8.95
o_000155,1,p_5213,s_849,2017-10-20 06:27:05,71.34,24.31
o_000156,1,p_9276,s_908,2018-03-21 10:41:44,311.45,65.73
o_000157,1,p_9258,s_892,2018-02-11 20:43:40,88.45,12.25
o_000157,2,p_4586,s_877,2018-02-11 20:43:40,41.47,19.63
o_000158,1,p_2680,s_268,2017-06-07 17:40:24,33.8,7.56
o_000158,2,p_7357,s_918,2017-06-07 17:40:24,63.63,6.35
o_000159,1,p_7696,s_424,2018-08-17 06:09:54,128.25,64.99
o_000160,1,p_5103,s_157,2018-04-15 19:27:42,99.74,10.78
o_000161,1,p_6270,s_377,2017-10-17 08:54:33,106.91,18.82
o_000162,1,p_9915,s_791,2018-07-27 19:25:19,121.45,28.76
o_000163,1,p_7477,s_684,2018-01-06 10:59:59,252.8,13.87
o_000164,1,p_8512,s_638,2018-06-28 09:05:55,115.76,25.08
o_000165,1,p_5715,s_836,2018-02-08 17:58:54,98.7,18.63
o_000166,1,p_9547,s_369,2018-04-30 21:27:31,437.27,28.15
o_000167,1,p_9150,s_839,2017-09-21 09:32:57,61.52,26.93
o_000167,2,p_5367,s_630,2017-09-21 09:32:57,97.06,23.26
o_000168,1,p_1297,s_917,2017-07-14 17:37:58,288.87,19.72
o_000168,2,p_9163,s_610,2017-07-14 17:37:58,299.76,13.83
o_000168,3,p_1198,s_835,2017-07-14 17:37:58,51.23,12.47
o_000169,1,p_7259,s_634,2018-05-19 22:38:41,133.7,13.15
o_000170,1,p_3246,s_490,2017-12-25 12:58:25,94.38,13.71
o_000171,1,p_6029,s_902,2018-01-27 16:16:39,176.37,12.72
o_000172,1,p_3647,s_759,2018-04-26 15:43:19,466.39,19.74
o_000173,1,p_5249,s_950,2017-04-30 20:43:50,227.07,6.23
o_000174,1,p_5171,s_927,2018-06-16 08:32:37,420.83,19.36
o_000175,1,p_5575,s_275,2018-08-07 15:22:49,80.72,8.27
o_000176,1,p_3420,s_173,2018-02-24 08:01:29,229.42,7.06
o_000177,1,p_7966,s_487,2018-08-06 18:13:57,118.56,25.57
o_000178,1,p_1353,s_712,2017-08-29 15:45:27,93.84,13.68
o_000179,1,p_4695,s_106,2017-07-21 19:11:33,109.11,15.44
o_000180,1,p_4920,s_282,2017-04-20 23:15:23,129.99,11.97
o_000181,1,p_6354,s_376,2018-05-17 14:37:50,366.9,16.84
o_000182,1,p_4782,s_884,2018-05-18 19:12:01,34.77,27.64
o_000183,1,p_5812,s_762,2017-10-03 11:25:34,119.41,66.54
o_000184,1,p_2202,s_700,2018-05-31 07:32:17,274.7,28.24
o_000185,1,p_6550,s_339,2018-02-02 09:55:29,69.07,14.54
o_000186,1,p_3211,s_105,2017-02-01 14:12:29,227.38,23.86
o_000187,1,p_9202,s_561,2017-03-15 16:04:45,84.13,11.08
o_000188,1,p_8596,s_478,2018-04-08 09:00:00,97.45,10.4
o_000188,2,p_6519,s_529,2018-04-08 09:00:00,62.43,9.54
o_000189,1,p_4943,s_995,2018-03-23 20:32:23,137.91,9.89
o_000190,1,p_3761,s_337,2017-10-30 18:59:00,251.69,8.15
o_000191,1,p_1135,s_171,2017-05-21 12:51:37,51.88,15.68
o_000192,1,p_5795,s_631,2018-08-10 13:31:00,54.02,12.88
o_000193,1,p_5206,s_479,2018-01-25 10:55:39,397.7,8.54
o_000194,1,p_7337,s_934,2017-02-20 13:25:08,18.45,24.05
o_000194,2,p_2516,s_234,2017-02-20 13:25:08,58.62,22.01
o_000194,3,p_4699,s_245,2017-02-20 13:25:08,36.0,23.05
o_000195,1,p_5161,s_644,2018-06-13 14:38:03,136.72,7.66
o_000196,1,p_2963,s_920,2017-05-06 10:38:10,332.82,11.28
o_000197,1,p_5560,s_581,2017-06-22 07:58:36,33.47,9.58
o_000198,1,p_9603,s_626,2018-02-18 08:37:33,138.44,11.5
o_000199,1,p_1323,s_748,2017-09-30 10:46:27,29.74,5.91
o_000200,1,p_9544,s_252,2018-06-12 08:28:16,165.83,6.07
o_000200,2,p_7947,s_264,2018-06-12 08:28:16,38.55,10.68
o_000201,1,p_3037,s_942,2018-02-25 13:08:01,114.6,29.06
o_000202,1,p_2543,s_555,2017-07-23 12:51:24,235.66,18.12
o_000203,1,p_3500,s_271,2018-07-22 10:58:24,523.84,8.57
o_000204,1,p_4825,s_251,2018-02-17 15:43:48,38.07,22.8
o_000205,1,p_8719,s_828,2018-07-19 13:16:14,17.11,23.66
o_000206,1,p_3382,s_740,2018-06-24 13:21:19,98.84,17.01
o_000207,1,p_1978,s_518,2018-08-09 17:42:25,440.7,19.55
o_000208,1,p_4690,s_467,2018-04-11 20:21:52,566.85,9.77
o_000209,1,p_1917,s_687,2017-12-23 14:59:12,128.98,8.15
o_000210,1,p_1288,s_182,2018-07-01 19:24:17,86.49,8.35
o_000211,1,p_1698,s_767,2018-04-20 03:58:57,98.84,12.45
o_000212,1,p_8936,s_795,2017-06-20 08:42:39,140.87,16.25
o_000212,2,p_3674,s_330,2017-06-20 08:42:39,66.6,17.92
o_000213,1,p_2335,s_697,2018-08-28 21:04:57,177.21,14.45
o_000214,1,p_4655,s_381,2018-06-21 22:16:18,146.66,23.79
o_000215,1,p_5488,s_321,2018-07-30 15:19:29,141.22,19.31
o_000216,1,p_3492,s_239,2017-03-17 23:51:36,148.89,22.42
o_000217,1,p_8332,s_847,2018-04-12 12:45:35,147.41,7.0
o_000218,1,p_1564,s_781,2018-08-09 09:18:29,66.73,14.88
o_000219,1,p_9715,s_416,2017-03-20 07:11:01,373.81,8.1
o_000220,1,p_7103,s_857,2017-01-19 14:30:27,114.3,26.99
o_000221,1,p_9881,s_854,2018-01-10 12:15:49,79.56,14.24
o_000221,2,p_2018,s_378,2018-01-10 12:15:49,168.28,15.42
o_000222,1,p_7818,s_572,2018-06-26 21:05:01,49.32,13.78
o_000223,1,p_8734,s_397,2018-03-29 16:38:53,214.43,17.7
o_000224,1,p_1805,s_448,2018-01-24 17:52:23,428.43,10.79
o_000225,1,p_9704,s_324,2018-07-31 07:35:12,123.96,12.44
o_000226,1,p_8742,s_456,2018-07-19 11:53:05,19.87,17.83
o_000227,1,p_6783,s_209,2017-07-26 17:02:58,159.21,29.35
o_000227,2,p_1547,s_626,2017-07-26 17:02:58,16.74,24.01
o_000228,1,p_8672,s_972,2017-08-01 12:32:03,91.33,19.82
o_000229,1,p_6272,s_257,2017-08-25 13:48:08,300.75,8.64
o_000230,1,p_3085,s_901,2018-07-10 00:02:07,30.35,16.13
o_000231,1,p_8268,s_644,2017-01-20 14:26:39,156.85,15.76
o_000232,1,p_7511,s_108,2018-05-03 09:27:24,285.58,18.95
o_000233,1,p_4158,s_403,2018-04-15 00:30:36,128.09,5.78
o_000234,1,p_1187,s_829,2017-05-10 21:56:37,58.3,25.72
o_000235,1,p_7405,s_292,2018-03-27 17:47:42,56.99,9.84
o_000236,1,p_9256,s_718,2018-02-11 11:16:52,314.72,17.57
o_000237,1,p_5277,s_787,2017-10-29 13:03:41,171.01,17.57
o_000238,1,p_9911,s_493,2018-02-09 20:15:04,368.92,28.28
o_000239,1,p_4900,s_472,2018-08-11 16:30:52,19.6,8.92
o_000240,1,p_2264,s_859,2017-07-27 08:41:51,44.47,11.23
o_000240,2,p_1842,s_172,2017-07-27 08:41:51,107.49,12.57
o_000241,1,p_9027,s_801,2018-08-16 18:43:03,47.83,18.18
o_000242,1,p_6820,s_399,2017-06-08 09:19:18,252.32,8.52
o_000243,1,p_2610,s_345,2017-11-02 09:35:05,37.74,27.62
o_000244,1,p_5789,s_279,2018-04-11 14:49:14,15.5,13.8
o_000245,1,p_8174,s_845,2018-04-14 21:07:51,386.82,23.39
o_000246,1,p_2579,s_812,2018-02-09 00:20:24,22.41,12.85
o_000247,1,p_9421,s_128,2017-05-19 09:20:58,132.61,14.4
o_000247,2,p_2851,s_614,2017-05-19 09:20:58,77.26,15.18
o_000248,1,p_4162,s_682,2017-02-28 11:01:27,84.14,16.07
o_000249,1,p_5963,s_939,2017-05-15 13:06:21,267.38,29.77
o_000250,1,p_3880,s_848,2018-05-27 15:00:00,87.57,13.6
o_000251,1,p_9880,s_658,2017-11-24 23:53:03,68.06,8.61
o_000252,1,p_3589,s_239,2018-06-07 12:55:35,231.59,6.38
o_000252,2,p_9019,s_660,2018-06-07 12:55:35,94.03,12.88
o_000253,1,p_9956,s_122,2018-08-06 18:16:50,177.92,6.65
o_000254,1,p_6680,s_556,2017-06-29 11:34:56,21.36,6.41
o_000255,1,p_7681,s_579,2018-01-01 19:29:46,71.95,17.77
o_000256,1,p_9489,s_424,2017-05-13 13:12:06,315.81,18.59
o_000257,1,p_1898,s_310,2018-05-18 15:10:13,374.58,10.8
o_000258,1,p_3266,s_282,2018-08-11 08:18:11,17.32,7.64
o_000259,1,p_3142,s_684,2018-07-23 09:17:54,114.3,9.33
o_000260,1,p_1942,s_734,2018-03-11 21:39:28,53.74,12.55
o_000261,1,p_5616,s_398,2018-03-08 05:38:21,238.03,6.33
o_000262,1,p_9644,s_856,2017-02-10 14:33:30,138.31,62.92
o_000263,1,p_2038,s_827,2018-04-19 19:19:19,146.29,9.88
o_000264,1,p_7394,s_821,2017-07-09 15:26:32,35.78,13.44
o_000265,1,p_8425,s_224,2017-09-10 12:45:19,46.08,17.09
o_000266,1,p_9298,s_282,2018-07-02 16:08:51,293.72,16.08
o_000267,1,p_7764,s_182,2017-07-27 16:30:41,141.43,24.25
o_000267,2,p_8742,s_290,2017-07-27 16:30:41,101.85,22.84
o_000267,3,p_2179,s_575,2017-07-27 16:30:41,110.97,29.98
o_000268,1,p_4161,s_355,2018-02-02 17:25:27,221.84,11.99
o_000269,1,p_1878,s_442,2018-04-22 11:55:33,87.88,13.06
o_000269,2,p_2600,s_748,2018-04-22 11:55:33,58.54,8.23
o_000269,3,p_4547,s_893,2018-04-22 11:55:33,15.9,6.74
o_000270,1,p_9933,s_133,2017-11-24 07:22:46,29.66,11.89
o_000271,1,p_9845,s_693,2018-05-09 12:11:08,54.15,7.04
o_000272,1,p_9491,s_534,2017-01-10 19:23:36,82.57,12.81
o_000273,1,p_6939,s_711,2018-06-07 20:13:26,555.98,12.45
o_000274,1,p_3573,s_828,2018-07-31 12:04:26,109.86,10.05
o_000275,1,p_2803,s_108,2018-06-12 20:17:31,129.69,8.75
o_000276,1,p_2070,s_139,2018-01-16 18:57:42,139.31,5.92
o_000277,1,p_2449,s_643,2017-01-10 09:13:24,45.0,9.15
o_000278,1,p_6102,s_446,2018-06-24 09:39:07,217.22,25.73
o_000279,1,p_2071,s_473,2018-08-28 17:36:33,65.64,5.97
o_000280,1,p_4604,s_520,2018-02-18 11:52:14,284.55,26.82
o_000281,1,p_5988,s_371,2018-01-28 11:56:21,77.8,29.63
o_000282,1,p_1197,s_261,2018-09-02 18:32:42,105.64,25.61
o_000283,1,p_7184,s_861,2018-04-14 11:47:42,136.56,6.74
o_000284,1,p_5617,s_678,2018-02-14 19:59:00,44.25,9.64
o_000285,1,p_2373,s_291,2017-10-25 08:44:20,371.92,29.48
o_000286,1,p_2451,s_779,2017-09-13 17:06:36,114.79,7.79
o_000287,1,p_5038,s_755,2017-02-02 21:47:53,52.92,26.85
o_000288,1,p_4935,s_596,2018-02-06 15:12:30,30.9,22.28
o_000289,1,p_8035,s_766,2017-12-06 14:37:08,136.33,6.33
o_000290,1,p_4391,s_139,2017-05-06 07:01:58,135.46,13.48
o_000291,1,p_7679,s_300,2017-04-11 03:40:41,95.94,29.84
o_000292,1,p_8066,s_204,2017-10-02 03:52:17,198.27,23.67
o_000293,1,p_5474,s_264,2018-02-07 22:03:59,81.28,28.13
o_000294,1,p_2037,s_578,2018-07-09 11:11:13,62.59,6.08
o_000295,1,p_9575,s_805,2018-06-20 15:03:00,123.18,27.39
o_000296,1,p_1671,s_159,2017-07-31 14:08:43,257.38,16.53
o_000297,1,p_3898,s_712,2017-06-29 17:07:27,448.19,6.0
o_000298,1,p_4795,s_838,2018-06-22 12:03:47,23.81,18.6
o_000298,2,p_7949,s_126,2018-06-22 12:03:47,121.34,15.42
o_000299,1,p_3182,s_116,2018-01-29 13:39:49,134.29,7.62
o_000300,1,p_8971,s_585,2018-04-08 12:19:15,108.73,19.83
o_000301,1,p_4584,s_154,2018-03-07 08:33:06,376.56,18.42
o_000302,1,p_5589,s_366,2017-11-22 12:54:13,20.55,14.63
o_000302,2,p_7840,s_748,2017-11-22 12:54:13,42.03,13.42
o_000303,1,p_2915,s_407,2018-05-03 14:01:38,208.3,15.39
o_000304,1,p_7419,s_190,2018-06-06 07:32:35,34.45,9.02
o_000305,1,p_5264,s_973,2017-05-19 19:06:39,161.91,16.78
o_000305,2,p_4314,s_490,2017-05-19 19:06:39,210.99,15.79
o_000306,1,p_2812,s_331,2018-04-09 17:24:58,135.9,15.19
o_000307,1,p_1280,s_927,2018-07-09 15:47:12,27.08,12.95
o_000308,1,p_5835,s_855,2017-09-28 12:42:36,178.26,25.84
o_000309,1,p_1134,s_166,2018-06-29 08:50:36,21.63,8.0
o_000310,1,p_5740,s_918,2018-03-28 13:11:25,428.76,19.58
o_000311,1,p_7343,s_148,2018-04-19 15:06:20,285.01,13.22
o_000312,1,p_9141,s_272,2018-06-09 12:17:51,79.2,22.65
o_000312,2,p_4085,s_425,2018-06-09 12:17:51,321.69,22.02
o_000313,1,p_6813,s_645,2018-09-02 10:36:02,549.29,22.62
o_000314,1,p_7658,s_264,2017-04-08 14:35:56,188.43,26.17
o_000315,1,p_1113,s_815,2017-01-12 15:21:09,92.7,16.54
o_000316,1,p_7661,s_822,2018-07-09 23:25:06,122.41,62.56
o_000317,1,p_7934,s_808,2018-08-16 23:50:22,69.08,24.93
o_000318,1,p_4859,s_641,2018-01-15 16:02:51,28.24,24.2
o_000319,1,p_5167,s_623,2018-01-13 13:10:41,150.27,8.23
o_000320,1,p_8419,s_953,2018-02-16 08:36:13,421.26,12.46
o_000321,1,p_6655,s_958,2017-10-03 18:48:03,90.22,12.45
o_000322,1,p_2249,s_632,2017-12-02 17:08:38,64.33,12.87
o_000323,1,p_4407,s_527,2018-08-11 10:47:33,15.61,7.42
o_000323,2,p_7923,s_975,2018-08-11 10:47:33,21.89,10.41
o_000324,1,p_3446,s_460,2018-03-27 11:43:34,227.69,15.19
o_000325,1,p_1482,s_147,2018-07-21 19:07:42,246.5,13.94
o_000325,2,p_5709,s_524,2018-07-21 19:07:42,57.47,12.39
o_000326,1,p_3734,s_476,2017-03-15 14:59:09,88.28,13.68
o_000327,1,p_5011,s_481,2018-07-10 10:54:55,28.44,11.36
o_000328,1,p_5240,s_453,2018-06-24 07:48:13,43.44,14.88
o_000329,1,p_5808,s_215,2018-05-18 10:57:31,76.36,9.91
